Date,Open,High,Low,Close,Volume
2024-01-01,33.00,33.50,32.80,33.20,15000000
2024-01-02,33.20,33.80,33.10,33.60,18000000
2024-01-03,33.60,34.00,33.40,33.90,20000000
2024-01-04,33.90,34.20,33.70,34.10,22000000
2024-01-05,34.10,34.50,33.90,34.30,25000000
2024-01-08,34.30,34.60,34.00,34.40,19000000
2024-01-09,34.40,34.80,34.20,34.70,21000000
2024-01-10,34.70,35.00,34.50,34.90,24000000
2024-01-11,34.90,35.20,34.60,34.80,18000000
2024-01-12,34.80,35.50,34.70,35.30,30000000
2024-01-15,35.30,35.70,35.10,35.60,26000000
2024-01-16,35.60,35.90,35.40,35.80,22000000
2024-01-17,35.80,36.20,35.60,36.10,25000000
2024-01-18,36.10,36.50,35.90,36.30,28000000
2024-01-19,36.30,36.80,36.10,36.70,35000000
2024-01-22,36.70,37.00,36.40,36.80,24000000
2024-01-23,36.80,37.20,36.60,37.10,27000000
2024-01-24,37.10,37.50,36.90,37.40,29000000
2024-01-25,37.40,37.80,37.20,37.60,25000000
2024-01-26,37.60,38.00,37.40,37.90,31000000
2024-01-29,37.90,38.20,37.70,38.10,26000000
2024-01-30,38.10,38.50,37.90,38.40,28000000
2024-01-31,38.40,38.80,38.20,38.60,33000000
2024-02-01,38.60,39.00,38.40,38.90,40000000
2024-02-02,38.90,39.20,38.50,38.70,35000000
2024-02-05,38.70,39.10,38.40,38.50,30000000
2024-02-06,38.50,38.80,38.20,38.30,25000000
2024-02-07,38.30,38.60,38.00,38.10,28000000
2024-02-08,38.10,38.50,37.90,38.40,22000000
2024-02-09,38.40,38.70,38.10,38.60,24000000
