Date,Open,High,Low,Close,Volume
2024-01-01,185.0,187.0,184.0,186.0,45000000
2024-01-02,186.0,188.5,185.5,188.0,52000000
2024-01-03,188.0,190.0,187.5,189.5,48000000
2024-01-04,189.5,191.5,188.5,191.0,55000000
2024-01-05,191.0,193.0,190.0,192.5,60000000
2024-01-08,192.5,194.5,191.5,194.0,58000000
2024-01-09,194.0,196.0,193.0,195.5,62000000
2024-01-10,195.5,197.5,194.5,197.0,65000000
2024-01-11,197.0,199.0,196.0,198.5,59000000
2024-01-12,198.5,200.5,197.5,200.0,75000000
2024-01-15,200.0,202.0,199.0,201.5,70000000
2024-01-16,201.5,203.5,200.5,203.0,68000000
2024-01-17,203.0,205.0,202.0,204.5,72000000
2024-01-18,204.5,206.5,203.5,206.0,77000000
2024-01-19,206.0,208.0,205.0,207.5,85000000
2024-01-22,207.5,209.5,206.5,209.0,80000000
2024-01-23,209.0,211.0,208.0,210.5,76000000
2024-01-24,210.5,212.5,209.5,212.0,82000000
2024-01-25,212.0,214.0,211.0,213.5,78000000
2024-01-26,213.5,215.5,212.5,215.0,90000000
2024-01-29,215.0,217.0,214.0,216.5,85000000
2024-01-30,216.5,218.5,215.5,218.0,88000000
2024-01-31,218.0,220.0,217.0,219.5,95000000
2024-02-01,219.5,221.5,218.5,221.0,105000000
2024-02-02,221.0,223.0,220.0,222.5,98000000
2024-02-05,222.5,224.5,221.5,224.0,92000000
2024-02-06,224.0,226.0,223.0,225.5,88000000
2024-02-07,225.5,227.5,224.5,227.0,85000000
2024-02-08,227.0,229.0,226.0,228.5,80000000
2024-02-09,228.5,230.5,227.5,230.0,90000000
